
💓专享源🅰️,#genre#


💓专享源🅱️,#genre#


💓专享央视,#genre#


💓专享卫视,#genre#


💓AKTV🚀📶,#genre#
Animax (HK),https://s1.m16tv.cfd/aktv/animaxhk/AKTV.m3u8
AXN,https://s1.m16tv.cfd/aktv/axn/AKTV.m3u8
Channel 5 HD,https://s1.m16tv.cfd/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,https://s1.m16tv.cfd/aktv/channel8hd/AKTV.m3u8
Channel U HD,https://s1.m16tv.cfd/aktv/channeluhd/AKTV.m3u8
myTV SUPER 18台,https://s1.m16tv.cfd/aktv/mytvsuper18/AKTV.m3u8
PopC,https://s1.m16tv.cfd/aktv/popc/AKTV.m3u8
ROCK Action,https://s1.m16tv.cfd/aktv/rockaction/AKTV.m3u8
TVB Plus,https://s1.m16tv.cfd/aktv/tvbplus/AKTV.m3u8
tvN,https://s1.m16tv.cfd/aktv/tvn/AKTV.m3u8
明珠剧集台(北美),https://s1.m16tv.cfd/aktv/CH-19/AKTV.m3u8
明珠台,https://s1.m16tv.cfd/aktv/CH-2/AKTV.m3u8
無線新聞台,https://s1.m16tv.cfd/aktv/CH-1/AKTV.m3u8
美亞電影台(HK),https://s1.m16tv.cfd/aktv/hk/AKTV.m3u8
翡翠剧集台(北美),https://s1.m16tv.cfd/aktv/CH-18/AKTV.m3u8
翡翠台,https://s1.m16tv.cfd/aktv/CH-0/AKTV.m3u8
翡翠综合台(北美),https://s1.m16tv.cfd/aktv/CH-17/AKTV.m3u8
鳳凰衛視中文台,https://s1.m16tv.cfd/aktv/CH-3/AKTV.m3u8
鳳凰衛視資訊台,https://s1.m16tv.cfd/aktv/CH-4/AKTV.m3u8
鳳凰衛視香港台,https://s1.m16tv.cfd/aktv/CH-5/AKTV.m3u8
HBO,https://s1.m16tv.cfd/aktv2/hbo/AKTV.m3u8
IQIYI,https://s1.m16tv.cfd/aktv2/iqiyi/AKTV.m3u8
天映电影,https://s1.m16tv.cfd/aktv2/CH-3/AKTV.m3u8
好萊塢電影台,https://s1.m16tv.cfd/aktv2/CH-4/AKTV.m3u8
東森洋片,https://s1.m16tv.cfd/aktv2/CH-2/AKTV.m3u8
東森電影,https://s1.m16tv.cfd/aktv2/CH-1/AKTV.m3u8
緯來體育台,https://s1.m16tv.cfd/aktv2/CH-0/AKTV.m3u8
CNA,https://s1.m16tv.cfd/aktv3/cna/AKTV.m3u8
KPOP+,https://s1.m16tv.cfd/aktv3/kpop/AKTV.m3u8
朝鲜恩情台,https://s1.m16tv.cfd/aktv3/CH-0/AKTV.m3u8
Japan News 24H LIVE,https://s1.m16tv.cfd/aktvjp/japannews24hlive/AKTV.m3u8
日テレNEWS LIVE,https://s1.m16tv.cfd/aktvjp/ntv/AKTV.m3u8
8TV,https://s1.m16tv.cfd/astro/8tv/AKTV.m3u8
My Cinema Europe HD 我的歐洲電影,https://s1.m16tv.cfd/taiwan/CH-3/AKTV.m3u8
TVBS,https://s1.m16tv.cfd/taiwan/tvbs/AKTV.m3u8
台視,https://s1.m16tv.cfd/taiwan/CH-4/AKTV.m3u8
